centre;composante;iae_etape_code;iae_version_code;iae_etape_lib;id_polytech;redoublant;sexe;age;nationalite;bac;bac_annee;bac_mention;bac_lieu;titre_access;titre_acces_iea;titre_acces_pays;Boursier ;dernier_etablissement_code;dernier_etablissement_lib;premier_etablissement_code;premier_etablissement_lib;type_dernier_diplome_code;type_dernier_diplome_lib;regime_inscription
POLYTECH;POLYTECH;PL05GB;114;Ingénieur Polytech 5A GB;2122INGGBM048;N;F;22;FRANCAIS(E);SVT-MA;2017;Très bien;Hte Savoie;; ;;Oui;0691774D;U_LYON 1;0383493R;Université Grenoble Alpes;001;Baccalaureat (Français);initiale
POLYTECH;POLYTECH;PL05GB;114;Ingénieur Polytech 5A GB;2122INGGBM049;N;F;22;FRANCAIS(E);SVT-SV;2016;Bien;Ardennes;; ;; ;0691774D;U_LYON 1;0691774D;Université Lyon 1;001;Baccalaureat (Français);cont pro
POLYTECH;POLYTECH;PL05MA;114;Ingénieur Polytech 5A MAT;2122INGMAT036;N;M;22;FRANCAIS(E);S-STI;2017;Très bien;Rhône;; ;; ;0691774D;U_LYON 1;0691774D;Université Lyon 1;001;Baccalaureat (Français);initiale
POLYTECH;POLYTECH;PL05GB;114;Ingénieur Polytech 5A GB;2122INGGBM050;N;M;23;FRANCAIS(E);SVT-SV;2017;Bien;Hte Savoie;; ;; ;0691774D;U_LYON 1;0730858L;Université Savoie Mont Blanc;001;Baccalaureat (Français);initiale
POLYTECH;POLYTECH;PL05ME;114;Ingénieur Polytech 5A MEC;2122INGMECA054;N;M;22;FRANCAIS(E);S-STI;2017;Bien;Hte Savoie;; ;;Oui;0691774D;U_LYON 1;0691774D;Université Lyon 1;001;Baccalaureat (Français);initiale
POLYTECH;POLYTECH;PL05IF;114;Ingénieur Polytech 5A IF;2122INGIF044;N;M;22;FRANCAIS(E);S-STI;2017;Très bien;Alpes Mari;; ;; ;0691774D;U_LYON 1;0691774D;Université Lyon 1;012;Attestation délivrée à la suite d'un cursus en CPGE;initiale
POLYTECH;POLYTECH;MPL022;116;M2 ATRDM;2122ATRDMM2010;N;F;23;FRANCAIS(E);SEAT;2016;Assez bien;Bouches Rh;; ;; ;0691774D;U_LYON 1;0134009M;Aix-Marseille Université;050;Maîtrise;apprentis.
POLYTECH;POLYTECH;PL05ME;114;Ingénieur Polytech 5A MEC;2122INGMECA055;O;M;22;FRANCAIS(E);S-STI;2016;Bien;Hte Garonn;; ;; ;0691774D;U_LYON 1;0342321N;Université de Montpellier;029;Autre diplôme de 1er cycle (DU,.);initiale
POLYTECH;POLYTECH;PLIFA5;118;Ingénieur Polytech IF 5A;2122INGIFA027;N;F;23;FRANCAIS(E);SVT-ISN;2016;Très bien;Essonne;; ;; ;0691774D;U_LYON 1;0912330N;Université Paris-Saclay;001;Baccalaureat (Français);apprentis.
POLYTECH;POLYTECH;PL00EI;113;Echanges internationaux;2122ECHINT003;N;M;23;ESPAGNOL(E);0031-étran;;;Etranger;; ;; ;;;0691774D;Université Lyon 1;502;Diplôme d'établissement étranger secondaire;initiale
POLYTECH;POLYTECH;PL03ME;114;Ingénieur Polytech 3A ME;2122INGMECA056;N;F;22;PORTUGAIS(E);SVT-SV;2018;Très bien;Corrèze;; ;;Oui;0691774D;U_LYON 1;0870669E;Université de Limoges;040;Licence;initiale
POLYTECH;POLYTECH;PL05IF;114;Ingénieur Polytech 5A IF;2122INGIF045;N;M;22;FRANCAIS(E);SVT-MA;2017;Bien;Hte Savoie;; ;; ;0691774D;U_LYON 1;0691774D;Université Lyon 1;001;Baccalaureat (Français);initiale
POLYTECH;POLYTECH;PL05IF;114;Ingénieur Polytech 5A IF;2122INGIF046;N;M;22;FRANCAIS(E);S-STI;2017;Bien;Rhône;; ;; ;0691774D;U_LYON 1;0383493R;Université Grenoble Alpes;001;Baccalaureat (Français);initiale
POLYTECH;POLYTECH;PL05ME;114;Ingénieur Polytech 5A MEC;2122INGMECA057;N;M;22;FRANCAIS(E);SVT-SV;2017;Très bien;Ain;; ;; ;0691774D;U_LYON 1;0691774D;Université Lyon 1;519;Autre diplôme supérieur;initiale
POLYTECH;POLYTECH;PL03IF;114;Ingénieur Polytech 3A IF;2122INGIF047;N;F;21;FRANCAIS(E);SVT-SV;2018;Très bien;Rhône;; ;; ;0691774D;U_LYON 1;0691774D;Université Lyon 1;001;Baccalaureat (Français);initiale
