id_polytech_inter;sexe;filiere;cursus;nationalite;diplome;stage_3a;stage_4a;s9_5a;stage_5a;double_diplome;sejourt_court;cesure;substitution;nb_mois_stage;nb_mois_etude;commentaires;total
2122_INTER_MECA009;M;MECA;Cpro;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_MECA010;M;MECA;FISE;FRANCAIS(E);DD Cranfield en cours;;;;;10;;;;0;10;;10
2122_INTER_MECA011;M;MECA;Cpro;MAROCAIN(E);oui;;;;;;;;;0;0;;0
2122_INTER_MECA012;M;MECA;FISE;FRANCAIS(E);oui;;;;;;1;;;1;0;;1
2122_INTER_MECA013;M;MECA;FISE;FRANCAIS(E);oui;;;5;;;;;;0;5;;5
2122_INTER_MECA014;F;MECA;Cpro;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_MECA015;M;MECA;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_MECA016;M;MECA;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_MECA017;M;MECA;FISE;FRANCAIS(E);oui;;;;;10;;;;0;10;;10
2122_INTER_MECA018;M;MECA;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_MECA019;M;MECA;FISE;FRANCAIS(E);oui;;;5;;;;;;0;5;;5
2122_INTER_MECA020;M;MECA;FISE;MAROCAIN(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_MECA021;M;MECA;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_MECA022;M;MECA;FISE;FRANCAIS(E);;;;;;;;;MOOC;0;0;;0
2122_INTER_MECA023;M;MECA;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_MECA024;M;MECA;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_MECA025;F;MECA;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_MECA026;M;MECA;FISE;FRANCAIS(E);oui;;;;6;;;;;8,5;0;;8,5
2122_INTER_MECA027;M;MECA;FISE;FRANCAIS(E);oui;;;5;;;;;;0;5;;5
2122_INTER_MECA028;M;MECA;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_MECA029;F;MECA;FISE;FRANCAIS(E);oui;;4;;;;;;;4;0;;4
2122_INTER_MECA030;M;MECA;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
